[2026-01-19 12:11:02,668][INFO] copytrade 启动 | poll_interval=60.0s
[2026-01-19 12:30:55,007][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
[2026-01-19 12:31:05,600][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768819438000
[2026-01-19 12:31:20,614][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
[2026-01-19 12:31:20,614][INFO] no token updates, total=2
[2026-01-19 12:32:30,449][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
[2026-01-19 12:32:45,471][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768819438000
[2026-01-19 12:33:00,503][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
[2026-01-19 12:33:00,503][INFO] no token updates, total=2
[2026-01-19 12:34:15,528][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
[2026-01-19 12:34:30,551][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768819438000
[2026-01-19 12:34:45,582][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
[2026-01-19 12:34:45,583][INFO] no token updates, total=2
[2026-01-19 12:35:56,428][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
[2026-01-19 12:36:08,027][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768819438000
[2026-01-19 12:36:22,513][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
[2026-01-19 12:36:22,514][INFO] no token updates, total=2
[2026-01-19 12:37:36,207][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
[2026-01-19 12:37:51,215][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768819438000
