[2026-01-18 03:32:09,063][INFO] copytrade 启动 | poll_interval=30.0s
[2026-01-18 03:40:19,354][INFO] no token updates, total=1
[2026-01-18 03:40:49,653][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768725416000
[2026-01-18 03:40:49,945][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:40:49,945][INFO] no token updates, total=1
[2026-01-18 03:41:20,278][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=2 normalized=1 since_ms=1768725416000
[2026-01-18 03:41:20,591][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:41:20,592][INFO] tokens output updated: /home/trader/polymarket_api/POLYMARKET_MAKER_copytrade_v2/copytrade/tokens_from_copytrade.json (total=1)
[2026-01-18 03:41:50,896][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768725656000
[2026-01-18 03:41:51,185][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:41:51,185][INFO] no token updates, total=1
[2026-01-18 03:42:21,512][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=2 normalized=1 since_ms=1768725656000
[2026-01-18 03:42:21,813][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:42:21,814][INFO] tokens output updated: /home/trader/polymarket_api/POLYMARKET_MAKER_copytrade_v2/copytrade/tokens_from_copytrade.json (total=2)
[2026-01-18 03:42:52,125][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768725716000
[2026-01-18 03:42:52,438][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:42:52,439][INFO] no token updates, total=2
[2026-01-18 03:43:22,767][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768725716000
[2026-01-18 03:43:23,067][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:43:23,068][INFO] no token updates, total=2
[2026-01-18 03:43:53,384][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=2 normalized=1 since_ms=1768725716000
[2026-01-18 03:43:53,700][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:43:53,700][INFO] tokens output updated: /home/trader/polymarket_api/POLYMARKET_MAKER_copytrade_v2/copytrade/tokens_from_copytrade.json (total=2)
[2026-01-18 03:44:24,026][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768725808000
[2026-01-18 03:44:24,361][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:44:24,362][INFO] no token updates, total=2
[2026-01-18 03:44:54,684][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768725808000
[2026-01-18 03:44:54,985][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:44:54,985][INFO] no token updates, total=2
[2026-01-18 03:45:25,366][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768725808000
[2026-01-18 03:45:25,669][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:45:25,669][INFO] no token updates, total=2
[2026-01-18 03:45:55,988][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768725808000
[2026-01-18 03:45:56,290][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:45:56,290][INFO] no token updates, total=2
[2026-01-18 03:46:26,584][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768725808000
[2026-01-18 03:46:26,886][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:46:26,886][INFO] no token updates, total=2
[2026-01-18 03:46:57,459][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=3 normalized=2 since_ms=1768725808000
[2026-01-18 03:46:57,763][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:46:57,764][INFO] tokens output updated: /home/trader/polymarket_api/POLYMARKET_MAKER_copytrade_v2/copytrade/tokens_from_copytrade.json (total=3)
[2026-01-18 03:47:28,082][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=2 normalized=0 since_ms=1768725992000
[2026-01-18 03:47:28,415][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:47:28,415][INFO] no token updates, total=3
[2026-01-18 03:47:58,716][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=2 normalized=0 since_ms=1768725992000
[2026-01-18 03:47:59,024][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:47:59,024][INFO] no token updates, total=3
[2026-01-18 03:48:29,367][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=2 normalized=0 since_ms=1768725992000
[2026-01-18 03:48:29,703][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:48:29,703][INFO] no token updates, total=3
[2026-01-18 03:49:00,024][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=2 normalized=0 since_ms=1768725992000
